Feature,Importance
Xihu,0.1534
Building Height,0.1231
Gongshu,0.0781
Shangcheng,0.069
Floor Area,0.0687
Last Transaction Duration,0.0672
Binjiang,0.059
Residential,0.0545
Units per Floor,0.0428
Popularity,0.0408
Yuhang,0.031
Mortgage Info,0.0213
Xiaoshan,0.0193
Rooms,0.0162
Elevators,0.0111
Bathrooms,0.0095
Luxury Renovation,0.0088
Flat,0.0082
Reinforced Concrete,0.0075
Slab-Tower Combo,0.0072
Qiantang,0.0072
Slab Building,0.0069
Purchased Public Housing,0.0068
Has Elevator,0.0061
Living Rooms,0.006
High Floor,0.0057
Shared Ownership,0.0055
Low Floor,0.0051
Mixed Structure,0.0043
Frame Structure,0.0041
Staircase,0.004
Tower Building,0.0038
Brick-Concrete,0.0037
No Elevator,0.0034
Simple Renovation,0.0032
Linan,0.0032
Unfinished,0.0029
Viewing Available,0.0027
Over 5 Years,0.0025
Under 2 Years,0.0025
Linping,0.0025
Viewing After Work,0.0024
Viewing with Tenant,0.0023
Viewing Weekends Only,0.0014
Staggered Floor,0.0014
Duplex,0.0011
Detached House,0.0008
Kitchens,0.0007
Steel Structure,0.0005
Relocation Property,0.0005
Private Property,0.0001
Brick-Wood,0.0001
Loft,0.0
