feature,coef,pvalue
Xihu,34926.797,0.0
Binjiang,25764.99,0.0
Shangcheng,23314.635,0.0
Gongshu,23231.248,0.0
Residential,15503.108,0.0
Yuhang,13452.343,0.0
Xiaoshan,10068.297,0.0
Purchased Public Housing,5687.335,0.0
Qiantang,3812.827,0.0
Bathrooms,1939.06,0.0
Has Elevator,1891.599,0.0
Under 2 Years,1646.322,0.0
Rooms,1234.706,0.0
Building Height,287.032,0.0
Mortgage Info,17.513,0.0
Floor Area,-25.762,0.0
Popularity,-35.266,0.0
Units per Floor,-73.249,0.0
Living Rooms,-641.004,0.0
High Floor,-1173.568,0.0
Relocation Property,-2592.093,0.004
Flat,-2734.481,0.0
Staggered Floor,-3528.427,0.0
Linan,-3530.016,0.0
